Time,§y1,§y2,§y3,§y4
6.6661E+00,-7.1341E-01,-3.2927E-01,-2.9811E-01,-4.8637E-01
6.7398E+00,-7.3592E-01,-3.6251E-01,-3.1328E-01,-4.1606E-01
6.8590E+00,-7.7484E-01,-4.0554E-01,-3.3942E-01,-3.0661E-01
6.9327E+00,-8.0043E-01,-4.2573E-01,-3.5468E-01,-2.4156E-01
7.0064E+00,-8.2708E-01,-4.4119E-01,-3.6821E-01,-1.7843E-01
7.1257E+00,-8.7205E-01,-4.5657E-01,-3.8491E-01,-8.0241E-02
7.1994E+00,-9.0068E-01,-4.6033E-01,-3.9136E-01,-2.2017E-02
7.2731E+00,-9.2966E-01,-4.5986E-01,-3.9451E-01,3.4269E-02
7.3923E+00,-9.7666E-01,-4.5055E-01,-3.9223E-01,1.2099E-01
7.4660E+00,-1.0054E+00,-4.3975E-01,-3.8616E-01,1.7171E-01
7.5397E+00,-1.0335E+00,-4.2530E-01,-3.7654E-01,2.2003E-01
7.6590E+00,-1.0771E+00,-3.9466E-01,-3.5362E-01,2.9271E-01
7.7327E+00,-1.1025E+00,-3.7155E-01,-3.3511E-01,3.3394E-01
7.8064E+00,-1.1264E+00,-3.4551E-01,-3.1347E-01,3.7214E-01
7.9256E+00,-1.1614E+00,-2.9777E-01,-2.7239E-01,4.2706E-01
7.9993E+00,-1.1805E+00,-2.6519E-01,-2.4363E-01,4.5647E-01
8.0730E+00,-1.1973E+00,-2.3058E-01,-2.1260E-01,4.8225E-01
8.1923E+00,-1.2194E+00,-1.7097E-01,-1.5837E-01,5.1589E-01
8.2660E+00,-1.2298E+00,-1.3234E-01,-1.2286E-01,5.3151E-01
8.3397E+00,-1.2375E+00,-9.2722E-02,-8.6209E-02,5.4308E-01
8.4589E+00,-1.2442E+00,-2.7258E-02,-2.5381E-02,5.5306E-01
8.5326E+00,-1.2447E+00,1.3553E-02,1.2613E-02,5.5376E-01
8.6063E+00,-1.2423E+00,5.4262E-02,5.0491E-02,5.5028E-01
8.7256E+00,-1.2327E+00,1.1913E-01,1.1064E-01,5.3586E-01
8.7993E+00,-1.2232E+00,1.5812E-01,1.4658E-01,5.2159E-01
8.8730E+00,-1.2111E+00,1.9591E-01,1.8116E-01,5.0332E-01
8.9922E+00,-1.1864E+00,2.5378E-01,2.3343E-01,4.6556E-01
9.0659E+00,-1.1681E+00,2.8707E-01,2.6299E-01,4.3735E-01
9.1396E+00,-1.1477E+00,3.1815E-01,2.9011E-01,4.0560E-01
9.2588E+00,-1.1107E+00,3.6312E-01,3.2817E-01,3.4714E-01
9.3325E+00,-1.0858E+00,3.8724E-01,3.4775E-01,3.0691E-01
9.4062E+00,-1.0596E+00,4.0829E-01,3.6410E-01,2.6376E-01
9.5255E+00,-1.0149E+00,4.3530E-01,3.8332E-01,1.8823E-01
9.5992E+00,-9.8636E-01,4.4735E-01,3.9059E-01,1.3831E-01
